Name,Email,Channel,Year,Match Email
employee16,employee16@homecompany.com,Inbound - quotes,2020,2020-employee16@homecompany.com
employee32,employee32@homecompany.com,Outbound,2020,2020-employee32@homecompany.com
employee9,employee9@homecompany.com,Recurring,2020,2020-employee9@homecompany.com
employee8,employee8@homecompany.com,Recurring,2020,2020-employee8@homecompany.com
employee19,employee19@homecompany.com,Recurring,2020,2020-employee19@homecompany.com
employee5,employee5@homecompany.com,Recurring,2020,2020-employee5@homecompany.com
employee6,employee6@homecompany.com,Inbound - zero touch,2020,2020-employee6@homecompany.com
employee12,employee12@homecompany.com,Recurring,2020,2020-employee12@homecompany.com
employee2,employee2@homecompany.com,Partner,2020,2020-employee2@homecompany.com
employee40,employee40@homecompany.com,Outbound,2020,2020-employee40@homecompany.com
employee7,employee7@homecompany.com,Recurring,2020,2020-employee7@homecompany.com
employee4,employee4@homecompany.com,Recurring,2020,2020-employee4@homecompany.com
employee48,employee48@homecompany.com,Outbound,2020,2020-employee48@homecompany.com
employee49,employee49@homecompany.com,Outbound,2020,2020-employee49@homecompany.com
employee17,employee17@homecompany.com,Inbound - quotes,2020,2020-employee17@homecompany.com
employee1,employee1@homecompany.com,Inbound - quotes,2020,2020-employee1@homecompany.com
employee26,employee26@homecompany.com,Recurring,2020,2020-employee26@homecompany.com
employee46,employee46@homecompany.com,Recurring,2020,2020-employee46@homecompany.com
employee22,employee22@homecompany.com,Partner,2020,2020-employee22@homecompany.com
employee23,employee23@homecompany.com,Partner,2020,2020-employee23@homecompany.com
employee20,employee20@homecompany.com,Partner,2020,2020-employee20@homecompany.com
employee24,employee24@homecompany.com,Partner,2020,2020-employee24@homecompany.com
employee39,employee39@homecompany.com,Recurring,2020,2020-employee39@homecompany.com
employee50,employee50@homecompany.com,Recurring,2020,2020-employee50@homecompany.com
employee44,employee44@homecompany.com,Recurring,2020,2020-employee44@homecompany.com
employee31,employee31@homecompany.com,Recurring,2020,2020-employee31@homecompany.com
employee29,employee29@homecompany.com,Inbound - quotes,2020,2020-employee29@homecompany.com
employee34,employee34@homecompany.com,Recurring,2020,2020-employee34@homecompany.com
employee51,employee51@homecompany.com,Partner,2020,2020-employee51@homecompany.com
employee52,employee52@homecompany.com,Partner,2020,2020-employee52@homecompany.com
employee21,employee21@homecompany.com,Partner,2020,2020-employee21@homecompany.com
employee36,employee36@homecompany.com,Inbound - quotes,2020,2020-employee36@homecompany.com
employee16,employee16@homecompany.com,Inbound - quotes,2021,2021-employee16@homecompany.com
employee32,employee32@homecompany.com,Outbound,2021,2021-employee32@homecompany.com
employee9,employee9@homecompany.com,Recurring,2021,2021-employee9@homecompany.com
employee8,employee8@homecompany.com,Recurring,2021,2021-employee8@homecompany.com
employee19,employee19@homecompany.com,Recurring,2021,2021-employee19@homecompany.com
employee5,employee5@homecompany.com,Recurring,2021,2021-employee5@homecompany.com
employee6,employee6@homecompany.com,Inbound - zero touch,2021,2021-employee6@homecompany.com
employee12,employee12@homecompany.com,Recurring,2021,2021-employee12@homecompany.com
employee2,employee2@homecompany.com,Partner,2021,2021-employee2@homecompany.com
employee40,employee40@homecompany.com,Outbound,2021,2021-employee40@homecompany.com
employee7,employee7@homecompany.com,Recurring,2021,2021-employee7@homecompany.com
employee4,employee4@homecompany.com,Recurring,2021,2021-employee4@homecompany.com
employee48,employee48@homecompany.com,Outbound,2021,2021-employee48@homecompany.com
employee49,employee49@homecompany.com,Outbound,2021,2021-employee49@homecompany.com
employee17,employee17@homecompany.com,Inbound - quotes,2021,2021-employee17@homecompany.com
employee1,employee1@homecompany.com,Inbound - quotes,2021,2021-employee1@homecompany.com
employee26,employee26@homecompany.com,Recurring,2021,2021-employee26@homecompany.com
